t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1
1.0,369.9999999999972,-5.121066405982795e+19,0.0,388949983069330.75,3.192920605410813e+18,392328456284866.8,8.816007206811866e+17,6.091392034679044e+17,5.041183374066261e+17,1.197281065415742e+18
1.9090909090909092,369.9999999999972,-5.2614824627512705e+19,0.0,562284103296173.7,4.819059011350445e+18,588823757119040.0,1.33054360171134e+18,9.193914467345928e+17,7.608808390751213e+17,1.8070920159689756e+18
2.909090909090909,369.9999999999972,-5.31345718210574e+19,0.0,717269777653439.1,6.088054560607343e+18,741871790316244.8,1.680870822738951e+18,1.161503139620257e+18,9.612507929118166e+17,2.2829706637683448e+18
4.00909090909091,369.9999999999972,-5.3380318220461834e+19,0.0,856402357492671.8,7.213618125994644e+18,877063722872142.6,1.9915863272274831e+18,1.3762529946502062e+18,1.1389763852930683e+18,2.705068952743518e+18
5.21909090909091,369.9999999999972,-5.3529406270834024e+19,0.0,986867302754916.6,8.271330502718501e+18,1003589979993363.2,2.2835573802036198e+18,1.5780610916568758e+18,1.3059915640895708e+18,3.1017300094856837e+18
6.55009090909091,369.9999999999972,-5.363455083537803e+19,0.0,1112991099562413.0,9.294855402945024e+18,1125702808804475.4,2.566080694484653e+18,1.773349178622611e+18,1.4676108989443663e+18,3.4855759369850266e+18
8.01419090909091,369.9999999999972,-5.371493777252256e+19,0.0,1237120032673410.8,1.030302680426776e+19,1245743308595257.5,2.8443570171966956e+18,1.965710221776043e+18,1.6268078940908347e+18,3.863668807862917e+18
9.624700909090912,369.9999999999972,-5.377945830476335e+19,0.0,1360900173987481.0,1.1308092807437349e+19,1365223446915968.5,3.12176788096857e+18,2.1574809258934374e+18,1.7855163881196365e+18,4.240601488834802e+18
11.396261909090914,369.9999999999972,-5.38328975162902e+19,0.0,1485305197206321.8,1.2318982952237859e+19,1485249849716628.5,3.400778692885822e+18,2.3503649140289505e+18,1.9451462860084403e+18,4.619722504267716e+18
13.344979009090915,369.9999999999972,-5.38782433173792e+19,0.0,1611174991283635.8,1.3342584296898759e+19,1606631073491375.2,3.6832900101200507e+18,2.545676361819552e+18,2.1067851957308948e+18,5.003614923163487e+18
15.488567819090918,369.9999999999972,-5.391745294847145e+19,0.0,1739314631649743.0,1.4384484737355459e+19,1730050319470562.2,3.9708438512298307e+18,2.744481507011069e+18,2.2713155324877335e+18,5.394374481675714e+18
17.84651551009092,369.9999999999972,-5.395182172099378e+19,0.0,1870230541437504.5,1.5449523709680701e+19,1856105711293166.5,4.264775908374014e+18,2.947703764830967e+18,2.4395015108270776e+18,5.793816189395902e+18
20.440257970190924,369.9999999999972,-5.398230430562453e+19,0.0,2004437435967316.2,1.6541990842503733e+19,1985294055266494.0,4.566269468073459e+18,3.1561618021935877e+18,2.612020660709304e+18,6.203549180036145e+18
23.293374676300928,369.9999999999972,-5.400961190300965e+19,0.0,2142489764101497.2,1.7665781180255846e+19,2118079003486391.5,4.876398770698546e+18,3.370599005932983e+18,2.789488211488191e+18,6.625034623368536e+18
26.43180305302193,369.9999999999972,-5.403426444973563e+19,0.0,2284824998603944.5,1.882456863375368e+19,2254911790694848.5,5.196177195218397e+18,3.5917165446890885e+18,2.9724844518895575e+18,7.059650705167334e+18
29.884074267415034,369.9999999999972,-5.405666557465779e+19,0.0,2431844691702307.5,2.002188858338197e+19,2396214494883157.5,5.526579716834045e+18,3.8201892062867456e+18,3.161567839298132e+18,7.50872376177646e+18
33.681572603247446,369.9999999999972,-5.407713968973284e+19,0.0,2583982838806473.5,2.126117891908247e+19,2542390640528997.0,5.868554166887308e+18,4.056673227648436e+18,3.357281480112644e+18,7.973543670954746e+18
37.8588207726631,369.9999999999972,-5.409594582533006e+19,0.0,2741673896055483.5,2.254582964700069e+19,2693841498380516.0,6.223035026218489e+18,4.301815741122957e+18,3.5601609468259937e+18,8.45538241743881e+18
42.45379375902032,369.9999999999972,-5.4113292433140154e+19,0.0,2905336562340546.5,2.3879228107991507e+19,2850970485595946.0,6.590955909316576e+18,4.556263407468312e+18,3.770741422674121e+18,8.955511061484572e+18
47.508264044013266,369.9999999999972,-5.4129350864910524e+19,0.0,3075387534555158.0,2.526479015477385e+19,3014184030757443.0,6.973258138892785e+18,4.820668370618478e+18,3.9895626299894185e+18,9.47521144370785e+18
53.06818135750551,369.9999999999972,-5.414426418843333e+19,0.0,3252252364678768.0,2.670598304967777e+19,3183893895618091.0,7.370897051224567e+18,5.095692628442682e+18,4.217172447523539e+18,1.0015784776226683e+19
59.184090402346975,369.9999999999972,-5.415815294215443e+19,0.0,3436367731806921.0,2.820634535168419e+19,3360519812648607.5,7.784847455518758e+18,5.382011834874533e+18,4.4541300573026714e+18,1.057855911644377e+19
64.74400771583922,369.9999999999972,-5.416966537597381e+19,0.0,3605192270684546.5,2.9506298237283303e+19,3517896233943180.0,8.143643528080889e+18,5.630046994179723e+18,4.659402781059932e+18,1.1066081845458127e+19
70.85991676068068,369.9999999999972,-5.4180293318001164e+19,0.0,3776669291410437.5,3.0871242757511176e+19,3681038149391510.0,8.520331543387248e+18,5.890496716159469e+18,4.874950085311977e+18,1.1578006705211677e+19
77.58741671000628,369.9999999999972,-5.419026219750788e+19,0.0,3953300840348188.0,3.230561253616153e+19,3850397513555402.5,8.916090282928428e+18,6.164218017638362e+18,5.101481561160824e+18,1.2116018976080001e+19
83.70332575484774,369.9999999999972,-5.419867209774774e+19,0.0,4115481725214552.0,3.3558148726943597e+19,4002089104816110.0,9.26179762569145e+18,6.403206389431107e+18,5.299267218634117e+18,1.2585759922356892e+19
90.43082570417334,369.9999999999972,-5.4206611640554996e+19,0.0,4281444789691837.5,3.4882523409588785e+19,4160277499838081.0,9.627277711074912e+18,6.65591799765612e+18,5.508410574304608e+18,1.308247540426362e+19
97.83107564843152,369.9999999999972,-5.4214212784914645e+19,0.0,4453577543259230.0,3.6283083639668417e+19,4325483307361305.0,1.0013686401319041e+19,6.923193096536024e+18,5.729607340619586e+18,1.360781774034314e+19
105.97135058711551,369.9999999999972,-5.422158611930456e+19,0.0,4634425743900190.0,3.776367766167363e+19,4499348902371250.0,1.0422117046039257e+19,7.205757070877126e+18,5.963457613264018e+18,1.416321215684693e+19
113.37160053137367,369.9999999999972,-5.422794519495273e+19,0.0,4802333267275501.0,3.9062612755905675e+19,4656782772067250.0,1.0780618815925148e+19,7.453601626792795e+18,6.168572699629104e+18,1.465036049751927e+19
121.51187547005766,369.9999999999972,-5.423403218220957e+19,0.0,4974944979221806.0,4.04418910229344e+19,4821434082109331.0,1.1161230257860055e+19,7.716794949290216e+18,6.386390840726184e+18,1.5167678595996613e+19
130.46617790261004,369.9999999999972,-5.423993006946532e+19,0.0,5154622825181029.0,4.190628518871901e+19,4993942097564703.0,1.1565210378934446e+19,7.996262199504315e+18,6.617678126791828e+18,1.571698591856568e+19
140.31591057841766,369.9999999999972,-5.4245719293344e+19,0.0,5344166373751237.0,4.3460096112419684e+19,5176205420282663.0,1.199378871734837e+19,8.29281212142103e+18,6.863103559357297e+18,1.629987134249893e+19
149.27021301097005,369.9999999999972,-5.425076913568153e+19,0.0,5520980626800335.0,4.482743349342151e+19,5342263304302924.0,1.2371171991219116e+19,8.553707438097906e+18,7.079019383735017e+18,1.6812671436438356e+19
159.11994568677767,369.9999999999972,-5.425563904814719e+19,0.0,5703004914215009.0,4.628353713311818e+19,5516003864566426.0,1.2772963665426346e+19,8.831565685041372e+18,7.308974328598321e+18,1.735881444527336e+19
169.95465163016607,369.9999999999972,-5.426039639604023e+19,0.0,5892949447937169.0,4.783370656609542e+19,5698403568946671.0,1.3200559564369385e+19,9.127414596406935e+18,7.553819441965752e+18,1.7940321610336471e+19
179.80438430597368,369.9999999999972,-5.426456282861119e+19,0.0,6069815178873548.0,4.920191320350351e+19,5864738946861653.0,1.3578190316786244e+19,9.388473796405602e+18,7.769870841396018e+18,1.8453443694789878e+19
190.63909024936208,369.9999999999972,-5.426861284376379e+19,0.0,6252286565947065.0,5.066305974132171e+19,6039024095272867.0,1.3981361534220194e+19,9.66729748459357e+18,8.000624874112452e+18,1.9001484537734234e+19
202.5572667870893,369.9999999999972,-5.427260241495176e+19,0.0,6443225540698144.0,5.222277249088278e+19,6222428507647029.0,1.4411560670077213e+19,9.964975303921578e+18,8.246983816053878e+18,1.9586587046781768e+19
213.3919727304777,369.9999999999972,-5.427612290265105e+19,0.0,6621491429326705.0,5.3602549709123215e+19,6390290035045748.0,1.479238410526093e+19,1.0228242424214356e+19,8.464862489952002e+18,2.0104048908231565e+19
225.31014926820492,369.9999999999972,-5.4279567383038616e+19,0.0,6805772671990193.0,5.5079252713805185e+19,6566381994868743.0,1.519983383102165e+19,1.051003831226256e+19,8.698076416408066e+18,2.065793199944604e+19
236.14485521159332,369.9999999999972,-5.428258367615899e+19,0.0,6975681185139428.0,5.638902933675279e+19,6726291791796732.0,1.5561387473221433e+19,1.0759935696589292e+19,8.904889977720915e+18,2.1149114216244204e+19
248.06303174932054,369.9999999999972,-5.4285545692052144e+19,0.0,7151091295367785.0,5.7794481790083195e+19,6893976374921105.0,1.5949188930141186e+19,1.1028132128693533e+19,9.126848927313723e+18,2.1676266736264466e+19
261.1730259408205,369.9999999999972,-5.428850336177732e+19,0.0,7335399255348466.0,5.930170445336622e+19,7071090643050199.0,1.636487643690778e+19,1.131580076963983e+19,9.364924503903048e+18,2.2241696253017133e+19
273.0912024785477,369.9999999999972,-5.4291143719855235e+19,0.0,7508007716409593.0,6.064043861964792e+19,7233965061733768.0,1.673436266631146e+19,1.1571239154215115e+19,9.576324224933356e+18,2.2743770601409843e+19
286.20119667004764,369.9999999999972,-5.429376063249721e+19,0.0,7687319351610835.0,6.207873849218408e+19,7405434030266659.0,1.713119713343629e+19,1.1845711629054067e+19,9.803477449775989e+18,2.328325952653586e+19
300.62219028069757,369.9999999999972,-5.429638526138463e+19,0.0,7876077918060889.0,6.362301859498495e+19,7586822038811934.0,1.7557070650760223e+19,1.2140461912345917e+19,1.0047414081339101e+19,2.3862609050582843e+19
313.7321844721975,369.9999999999972,-5.429873761715548e+19,0.0,8053171444391434.0,6.499607022677164e+19,7754046394621851.0,1.7936032942432506e+19,1.2402447035738776e+19,1.0264231825856553e+19,2.4377551204904792e+19
328.15317808284743,369.9999999999972,-5.430107493977998e+19,0.0,8237224004502149.0,6.647272050689912e+19,7930068634591621.0,1.8343434733893663e+19,1.2684241512098159e+19,1.0497444839331658e+19,2.4931432128936583e+19
344.01627105456237,369.9999999999972,-5.430342578946864e+19,0.0,8431130466879697.0,6.805974406771273e+19,8116403342679318.0,1.8781061615968133e+19,1.298715888284192e+19,1.0748140851447525e+19,2.552683518364559e+19
358.4372646652123,369.9999999999972,-5.430554026963368e+19,0.0,8613374013287711.0,6.94719998543422e+19,8288599950127062.0,1.9170851284069868e+19,1.3256622468305072e+19,1.0971147690474705e+19,2.605647643752913e+19
374.30035763692723,369.9999999999972,-5.43076451731211e+19,0.0,8802806235108906.0,7.099209093984633e+19,8469783267966484.0,1.959022330823421e+19,1.3546710751690998e+19,1.1211224770288142e+19,2.6626659520129905e+19
391.7497599058137,369.9999999999972,-5.4309767301039776e+19,0.0,9002517442497797.0,7.262716127011517e+19,8661692126036967.0,2.0041061917306446e+19,1.385880849339466e+19,1.1469518794409855e+19,2.7240107855435678e+19
407.6128528775286,369.9999999999972,-5.431168222680853e+19,0.0,9190539949930658.0,7.408321219755364e+19,8839452139730664.0,2.04429490539831e+19,1.413662573967238e+19,1.1699439016847956e+19,2.7786168394960503e+19
425.06225514641505,369.9999999999972,-5.431359105512193e+19,0.0,9385957139100498.0,7.565156030458991e+19,9026369957642012.0,2.0875617955131687e+19,1.4435927471602303e+19,1.1947141274555089e+19,2.8374461276204093e+19
440.92534811813,369.9999999999972,-5.43152938785279e+19,0.0,9567366264570902.0,7.705031926496133e+19,9197740391423190.0,2.1261764914898326e+19,1.4702794168211737e+19,1.2167998316377983e+19,2.889899675881729e+19
458.37475038701643,369.9999999999972,-5.43169922284313e+19,0.0,9755473488831788.0,7.855931893067568e+19,9377693630391936.0,2.1678076936104763e+19,1.4990765778656852e+19,1.2406323636582939e+19,2.9465019412211892e+19
477.56909288279155,369.9999999999972,-5.431871512421353e+19,0.0,9954118068182384.0,8.01861487111937e+19,9568590301968598.0,2.2126599736570425e+19,1.5301301817359788e+19,1.2663325524197886e+19,3.007539892469538e+19
495.018495151678,369.9999999999972,-5.432027933084431e+19,0.0,1.0141495724584518e+16,8.163779040455357e+19,9745941065153626.0,2.2527269543199035e+19,1.5578277838085847e+19,1.2892549561633024e+19,3.0619806024845906e+19
514.2128376474531,369.9999999999972,-5.432184834754861e+19,0.0,1.0336672991469828e+16,8.32044800232155e+19,9932682389263806.0,2.295945952773807e+19,1.5877268557806043e+19,1.3139994591528241e+19,3.1207487990762406e+19
531.6622399163396,369.9999999999972,-5.432325566762042e+19,0.0,1.0518183599653758e+16,8.46041864188396e+19,1.010432768788849e+16,2.334587632959299e+19,1.6144313845783253e+19,1.3360999374303177e+19,3.1732374357872656e+19
550.8565824121147,369.9999999999972,-5.432466674381202e+19,0.0,1.0706732878617994e+16,8.61167787742912e+19,1.0284741318263518e+16,2.37631611687159e+19,1.6432975777236384e+19,1.3599896145674959e+19,3.2299754208467067e+19
571.9703591574673,369.9999999999972,-5.432610556462924e+19,0.0,1.0906179058281696e+16,8.775025142374472e+19,1.0476402865362792e+16,2.421346721325197e+19,1.6744792216320053e+19,1.3857958079568558e+19,3.2912651332680475e+19
591.1647016532424,369.9999999999972,-5.432741814480061e+19,0.0,1.109462541257452e+16,8.92100324462392e+19,1.065492591537262e+16,2.4616386955976856e+19,1.7023320307863611e+19,1.4088466585523165e+19,3.346010904554764e+19
612.2784783985951,369.9999999999972,-5.432874071932652e+19,0.0,1.1291201159177118e+16,9.078786702769103e+19,1.0843037149852478e+16,2.5051629459935457e+19,1.7324443579262001e+19,1.4337676688719135e+19,3.4051983061465424e+19
631.4728208943702,369.9999999999972,-5.432993207995936e+19,0.0,1.1474288978518782e+16,9.219939471770506e+19,1.1016323110558258e+16,2.5441320742506553e+19,1.759374132813763e+19,1.456054551155224e+19,3.45812965234196e+19
652.5865976397229,369.9999999999972,-5.433113127816758e+19,0.0,1.1664705572331422e+16,9.37267555734584e+19,1.119854585589983e+16,2.586266021334132e+19,1.7885226684516942e+19,1.4801779102589374e+19,3.5154226321582494e+19
